,PC1,PC2,PC3
Tma,0.5810032126202923,0.5646255809603702,0.586202371412863
Tna,0.48506070607665347,-0.8185660747818215,0.3076779040436599
Tda,-0.6535681895145432,-0.10558188547968739,0.7494672021597985
